title,year,language,period,opening_weekend_cr,opening_weekend_note,wide_release_flag,genre,genre_primary,certification,cert_subband,has_certification,runtime_minutes,theatrical_release,festival_release,cast,director,production,star_power_flag,star_prior_mean_log,star_prior_count,lead_cast_popularity,popularity,sequel_flag,release_weekday,release_month,rating,rating_count,total_gross,india_net,overseas,budget,budget_cr,sacnilk_slug,wiki_title,tmdb_id
Rangoon,2017,Hindi,pre_covid,14.5,ok,True,"Drama, War",Drama,UA,UA,True,154.0,24 Feb 2017,False,,,,0,2.770042426685697,153,3.0886,1.4379,0,Friday,2,6.083,36.0,₹39.80 Cr,₹20.76 Cr,₹11.78 Cr,₹60.00 Cr,60.0,Rangoon_2017,Rangoon (2017 Hindi film),392271.0
Ok Jaanu,2017,Hindi,pre_covid,13.8,ok,True,"Drama, Romantic",Drama,UA,UA,True,137.0,13 Jan 2017,True,,,,0,2.775863627100792,150,1.8231,1.3883,0,Friday,1,5.815,65.0,₹39.30 Cr,₹23.65 Cr,₹6.45 Cr,₹27.00 Cr,27.0,Ok_Jaanu_2017,Ok Jaanu,413882.0
The Ghazi Attack,2017,Hindi,pre_covid,6.75,ok,True,War,War,UA,UA,True,123.0,17 Feb 2017,False,,,,0,2.7747947265759634,152,12.5964,1.3876,0,Friday,2,7.104,106.0,₹34.50 Cr,₹20.30 Cr,₹7.10 Cr,₹16.00 Cr,16.0,The_Ghazi_Attack_2017,Ghazi (film),442405.0
Jolly LLB 2,2017,Hindi,pre_covid,50.46,ok,True,"Black Comedy, Drama",Black Comedy,UA,U/A,True,137.0,10 Feb 2017,False,Akshay Kumar; Annu Kapoor; Kumud Mishra; Saurabh Shukla; Huma Qureshi,Subhash Kapoor,,1,4.204692619390966,2,2.5409,1.4906,1,Friday,2,6.976,166.0,₹197.33 Cr,₹117.00 Cr,₹34.83 Cr,₹30.00 Cr,30.0,Jolly_LLB_2_2017,Jolly LLB 2,412090.0
Raees,2017,Hindi,pre_covid,43.82,ok,True,"Crime, Thriller",Crime,UA,U/A,True,161.0,25 Jan 2017,False,Shah Rukh Khan; Atul Kulkarni; Narendra Jha; Nawazuddin Siddiqui; Mahira Khan,Rahul Dholakia,,1,4.166524448407605,3,2.6192,2.0058,0,Wednesday,1,6.665,266.0,₹285.00 Cr,₹164.63 Cr,₹57.82 Cr,₹92.00 Cr,92.0,Raees_2017,Raees (2017 film),363343.0
Helicopter Eela,2018,Hindi,pre_covid,2.85,ok,True,Drama,Drama,U,U,True,130.0,12 Oct 2018,False,Atul Kulkarni; Riddhi Sen; Kajol; Neha Dhupia,Pradeep Sarkar,Pen India Limited,1,3.802654468372781,1,2.359,0.7702,0,Friday,10,6.0,16.0,₹7.20 Cr,₹4.52 Cr,₹1.50 Cr,₹15.00 Cr,15.0,Helicopter_Eela_2018,Helicopter Eela,545273.0
Stree,2018,Hindi,pre_covid,32.26,ok,True,"Comedy, Horror",Comedy,UA,U/A,True,122.0,31 Aug 2018,False,Rajkummar Rao; Aparshakti Khurana; Pankaj Tripathi; Abhishek Banerjee; Shraddha Kapoor,Amar Kaushik,Maddock Films,1,2.5273273831915284,2,1.8231,2.7168,0,Friday,8,6.983,210.0,₹182.00 Cr,₹129.83 Cr,₹15.00 Cr,₹30.00 Cr,30.0,Stree_2018,Stree (2018 film),533991.0
Laila Majnu,2018,Hindi,pre_covid,1.8,ok,True,"Drama, Romantic",Drama,UA,U/A,True,140.0,07 Sep 2018,False,Avinash Tiwary; Tripti Dimri,Sajid Ali,Pi Films,1,,0,1.2124,1.7706,0,Friday,9,6.797,32.0,₹3.40 Cr,₹2.72 Cr,₹0.20 Cr,₹10.00 Cr,10.0,Laila_Majnu_2018,Laila Majnu (2018 film),540620.0
Karwaan,2018,Hindi,pre_covid,8.1,ok,True,Drama,Drama,UA,U/A,True,114.0,03 Aug 2018,False,Irrfan Khan; Dulquer Salmaan; Mithila Palkar,Akarsh Khurana,,1,2.163076644585991,3,1.8703,1.0971,0,Friday,8,7.094,117.0,₹29.50 Cr,₹20.32 Cr,₹3.00 Cr,₹20.00 Cr,20.0,Karwaan_2018,Karwaan,533237.0
102 Not Out,2018,Hindi,pre_covid,16.65,ok,True,"Comedy, Drama",Comedy,U,U,True,102.0,04 May 2018,False,Rishi Kapoor; Jimit Trivedi; Paresh Rawal; Amitabh Bachchan,Umesh Shukla,T-Series,1,4.752986530409546,1,1.3777,0.9377,0,Friday,5,7.377,69.0,₹115.68 Cr,₹52.15 Cr,₹48.68 Cr,₹34.00 Cr,34.0,102_Not_Out_2018,102 Not Out,460713.0
